DA_Number,Detail_URL,Description,Submitted_Date,Decision,Categories,Property_Address,Applicant,Progress,Fees,Documents,Contact_Council
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
MA25/1322,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734852&propkey=29524,,13/10/2025,,,"Streamside St, WOOLLAMIA",,,,,
DA25/2199,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734682&propkey=1001557,,6/10/2025,,,"46 Connors View, BERRY",,,,,
DA25/2221,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734858&propkey=14380,,7/10/2025,,,"37 Naval Pde, EROWAL BAY",,,,,
